Source DataFile                                                     ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p
--------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:43,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1160,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,7.6346,0.9673,264.42,1088,3127.77,0.6521,0.334
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:45,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1147.5,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,1.8921,0.9755,276.89,1228,2813.69,0.5636,0.371
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:47,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1100,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,0.8329,0.9766,291.98,1207.33,2735.17,0.5586,0.425
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:50,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1140,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,2.2878,0.9695,284.44,1158.1,2902.18,0.601,0.397
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:52,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1130,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,2.3549,0.9698,280.89,1153.83,2881.7,0.5996,0.386
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:55,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1130,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,1.4821,0.9741,285.62,1176.69,2783.46,0.5773,0.403
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:00:57,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1125,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,1.5979,0.9742,288.48,1172.22,2786.35,0.5793,0.41
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:01:00,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1145,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,1.9225,0.9728,286.34,1161.55,2825.72,0.5889,0.403
C:\LIFT\DATA\LOW\LOW_20230309_NaOm1293_10C_2S_445_nodecayp_data.csv , 2023/03/09, 12:01:02,1.68E+12,--Not Acquired--     ,--Not Acquired--     ,-1142.5,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,2.0241,0.9731,285.66,1163.39,2812.74,0.5864,0.401
