Source DataFile                                                         ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Alp1PQ,    Tau1PQ,    Alp1QA,
------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:05,    1694537345274,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     9.4899,     0.9791,    254.36,    553.26,   2015.26,    0.7255,    0.0340,    0.0000,         0,    0.3779,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:14,    1694537353883,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.9411,     0.9839,    291.18,    701.63,   1788.05,    0.6076,    0.3290,    0.0000,         0,    0.6202,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:22,    1694537362435,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4063,     0.9906,    293.67,    713.86,   1728.47,    0.5870,    0.3930,    0.0000,         0,    0.3350,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:31,    1694537370973,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4667,     0.9843,    299.89,    690.96,   1770.92,    0.6098,    0.3780,    0.0000,         0,    0.6776,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:39,    1694537379511,--Not Acquired--     ,-Not Acquired--      , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5735,     0.9830,    299.32,    679.07,   1773.04,    0.6170,    0.3600,    0.0000,         0,    0.6554,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:48,    1694537388017,--Not Acquired--     ,-Not Acquired--      , -2820.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4586,     0.9856,    299.14,    691.08,   1748.28,    0.6047,    0.3840,    0.0000,         0,    0.6511,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:49:56,    1694537396515,--Not Acquired--     ,-Not Acquired--      , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4793,     0.9854,    300.01,    694.37,   1752.72,    0.6038,    0.3870,    0.0000,         0,    0.6147,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:05,    1694537405059,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4681,     0.9845,    299.43,    690.41,   1758.05,    0.6073,    0.3840,    0.0000,         0,    0.5703,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:13,    1694537413574,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5727,     0.9841,    299.78,    688.01,   1756.29,    0.6083,    0.3830,    0.0000,         0,    0.6474,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:22,    1694537422039,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4414,     0.9847,    299.25,    692.22,   1755.60,    0.6057,    0.3820,    0.0000,         0,    0.6086,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:30,    1694537430580,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5026,     0.9848,    298.61,    691.35,   1755.26,    0.6061,    0.3830,    0.0000,         0,    0.6542,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:39,    1694537439067,--Not Acquired--     ,-Not Acquired--      , -2820.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4627,     0.9841,    299.69,    691.21,   1753.21,    0.6057,    0.3910,    0.0000,         0,    0.6686,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:47,    1694537447575,--Not Acquired--     ,-Not Acquired--      , -2800.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4860,     0.9850,    298.45,    689.48,   1752.16,    0.6065,    0.3810,    0.0000,         0,    0.6597,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:50:56,    1694537456083,--Not Acquired--     ,-Not Acquired--      , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4478,     0.9853,    298.50,    698.33,   1754.29,    0.6019,    0.3840,    0.0000,         0,    0.6187,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:51:04,    1694537464593,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5446,     0.9852,    297.85,    693.42,   1754.12,    0.6047,    0.3770,    0.0000,         0,    0.6443,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:51:13,    1694537473112,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5114,     0.9849,    298.63,    690.03,   1752.31,    0.6062,    0.3800,    0.0000,         0,    0.6517,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:51:21,    1694537481673,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4270,     0.9843,    298.41,    693.70,   1753.36,    0.6044,    0.3840,    0.0000,         0,    0.5357,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:51:30,    1694537490169,--Not Acquired--     ,-Not Acquired--      , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5125,     0.9852,    297.00,    693.75,   1754.88,    0.6047,    0.3680,    0.0000,         0,    0.6055,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_8S_data.csv , 2023/09/12, 13:51:38,    1694537498719,--Not Acquired--     ,-Not Acquired--      , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.1680,     0.9822,    310.54,    657.33,   1754.31,    0.6253,    0.3620,    0.0000,         0,    0.9970,
