Source DataFile                                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Alp1PQ,    Tau1PQ,    Alp1QA,
-------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:06,    1694539266660,--Not Acquired--     ,-Not Acquired--      , -2930.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     8.7377,     0.9777,    256.11,    544.84,   2030.44,    0.7317,    0.0000,    0.0000,         0,    0.3724,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:07,    1694539267664,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2687,     0.9908,    285.92,    765.79,   1775.48,    0.5687,    0.3710,    0.0000,         0,    0.4648,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:08,    1694539268665,--Not Acquired--     ,-Not Acquired--      , -2800.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     6.3935,     0.9898,    295.69,    769.18,   1730.71,    0.5556,    0.4800,    0.0000,         0,    0.9991,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:09,    1694539269666,--Not Acquired--     ,-Not Acquired--      , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7913,     0.9829,    295.75,    682.42,   1836.91,    0.6285,    0.3370,    0.0000,         0,    0.6773,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:10,    1694539270668,--Not Acquired--     ,-Not Acquired--      , -2820.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.0731,     0.9825,    294.30,    674.64,   1821.11,    0.6295,    0.3230,    0.0000,         0,    0.6608,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:11,    1694539271669,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4774,     0.9900,    290.09,    721.06,   1766.99,    0.5919,    0.3740,    0.0000,         0,    0.3590,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:12,    1694539272673,--Not Acquired--     ,-Not Acquired--      , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5727,     0.9888,    293.47,    710.39,   1785.25,    0.6021,    0.3710,    0.0000,         0,    0.4267,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:13,    1694539273676,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7498,     0.9842,    297.42,    694.13,   1808.14,    0.6161,    0.3580,    0.0000,         0,    0.6509,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_01S_data.csv , 2023/09/12, 14:21:14,    1694539274678,--Not Acquired--     ,-Not Acquired--      , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5649,     0.9871,    293.80,    705.95,   1792.04,    0.6061,    0.3640,    0.0000,         0,    0.4896,
