Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,     Chisq,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   Light_1,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:12:52,    1676387572492,--Not Acquired--     ,--Not Acquired--     , -1223.19,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    18.1672,     0.9289,    987.75,   2422.27,    0.5922,    273.54,    0.4850,    0.6431,       518,    0.2515,      7552,    0.1054,    192582,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:12:54,    1676387574430,--Not Acquired--     ,--Not Acquired--     , -1218.74,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.8750,     0.9001,   1100.28,   2258.76,    0.5129,    289.83,    0.4170,    0.6832,       389,    0.1991,      2033,    0.1177,     23465,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:12:56,    1676387576266,--Not Acquired--     ,--Not Acquired--     , -1220.35,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.5741,     0.9031,   1092.72,   2216.81,    0.5071,    293.89,    0.4290,    0.7060,       395,    0.1870,      2126,    0.1070,     26853,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:12:58,    1676387578083,--Not Acquired--     ,--Not Acquired--     , -1217.44,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     4.0090,     0.8973,   1090.95,   2198.37,    0.5037,    295.03,    0.4220,    0.6842,       363,    0.2118,      1690,    0.1040,     25883,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:13:00,    1676387579899,--Not Acquired--     ,--Not Acquired--     , -1219.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.0399,     0.8982,   1087.33,   2174.03,    0.4999,    296.90,    0.4230,    0.7024,       369,    0.1998,      1826,    0.0978,     27896,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:13:01,    1676387581747,--Not Acquired--     ,--Not Acquired--     , -1217.64,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.9232,     0.9000,   1086.38,   2160.86,    0.4972,    298.34,    0.4290,    0.6959,       367,    0.2061,      1740,    0.0980,     27867,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:13:03,    1676387583581,--Not Acquired--     ,--Not Acquired--     , -1216.14,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     7.0917,     0.9022,   1084.25,   2147.32,    0.4951,    300.06,    0.4330,    0.6949,       370,    0.2081,      1756,    0.0970,     29136,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:13:05,    1676387585417,--Not Acquired--     ,--Not Acquired--     , -1217.17,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     4.0054,     0.9004,   1084.68,   2151.44,    0.4958,    301.21,    0.4310,    0.6885,       358,    0.2160,      1675,    0.0955,     28182,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:13:07,    1676387587230,--Not Acquired--     ,--Not Acquired--     , -1217.32,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     6.6213,     0.9011,   1084.74,   2144.84,    0.4943,    301.07,    0.4290,    0.7001,       368,    0.2059,      1782,    0.0940,     28970,      0.00,
C:\LIFT\DATA\LOW\LOW_20230214_NaOm1273_20C_1S_data.csv , 2023/02/14, 11:13:09,    1676387589079,--Not Acquired--     ,--Not Acquired--     , -1214.88,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.6600,     0.8946,   1084.82,   2156.58,    0.4970,    298.56,    0.4220,    0.6641,       335,    0.2416,      1529,    0.0943,     28056,      0.00,
