Source DataFile                                                         ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Alp1PQ,    Tau1PQ,    Alp1QA,
------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:42,    1694538281895,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     9.5754,     0.9783,    251.37,    550.04,   2038.39,    0.7302,    0.0000,    0.0000,         0,    0.3364,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:44,    1694538284378,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3112,     0.9874,    283.67,    755.05,   1784.02,    0.5768,    0.3550,    0.0000,         0,    0.5336,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:47,    1694538286865,--Not Acquired--     ,-Not Acquired--      , -2810.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8785,     0.9935,    285.76,    750.21,   1729.31,    0.5662,    0.4200,    0.0000,         0,    0.9996,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:49,    1694538289363,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5074,     0.9830,    295.03,    690.61,   1810.36,    0.6185,    0.3550,    0.0000,         0,    0.6907,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:52,    1694538291866,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2135,     0.9822,    292.15,    674.63,   1804.51,    0.6261,    0.3240,    0.0000,         0,    0.6764,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:54,    1694538294363,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5402,     0.9878,    290.11,    710.78,   1758.80,    0.5959,    0.3670,    0.0000,         0,    0.2313,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:57,    1694538296852,--Not Acquired--     ,-Not Acquired--      , -2790.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6366,     0.9870,    291.82,    701.70,   1766.57,    0.6028,    0.3620,    0.0000,         0,    0.4331,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:04:59,    1694538299337,--Not Acquired--     ,-Not Acquired--      , -2790.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5552,     0.9841,    296.26,    692.59,   1779.90,    0.6109,    0.3700,    0.0000,         0,    0.6211,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_2S_data.csv , 2023/09/12, 14:05:02,    1694538301835,--Not Acquired--     ,-Not Acquired--      , -2820.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5949,     0.9847,    293.69,    698.19,   1774.44,    0.6065,    0.3660,    0.0000,         0,    0.4088,
